Hex,1967abbrev,isControl,isVisual(terminal)
00,NUL,1,0
01,SOH,1,0
02,STX,1,0
03,ETX,1,0
04,EOT,1,0
05,ENQ,1,0
06,ACK,1,0
07,BEL,1,0
08,BS,1,?
09,HT,1,1
0A,LF,1,1
0B,VT,1,1
0C,FF,1,1
0D,CR,1,1
0E,SO,1,?
0F,SI,1,?
10,DLE,1,0
11,DC1,1,0
12,DC2,1,0
13,DC3,1,0
14,DC4,1,0
15,NAK,1,0
16,SYN,1,0
17,ETB,1,0
18,CAN,1,0
19,EM,1,?
1A,SUB,1,?
1B,ESC,1,0
1C,FS,1,1
1D,GS,1,1
1E,RS,1,1
1F,US,1,1
20,,"0",1
21,"!",0,1
22,""",0,1
23,"#",0,1
24,"$",0,1
25,"%",0,1
26,"&",0,1
27,"'",0,1
28,"(",0,1
29,")",0,1
2A,"*",0,1
2B,"+",0,1
2C,",",0,1
2D,"-",0,1
2E,".",0,1
2F,"/",0,1
30,"0",0,1
31,"1",0,1
32,"2",0,1
33,"3",0,1
34,"4",0,1
35,"5",0,1
36,"6",0,1
37,"7",0,1
38,"8",0,1
39,"9",0,1
3A,":",0,1
3B,";",0,1
3C,"<",0,1
3D,"=",0,1
3E,">",0,1
3F,"?",0,1
40,"@",0,1
41,"A",0,1
42,"B",0,1
43,"C",0,1
44,"D",0,1
45,"E",0,1
46,"F",0,1
47,"G",0,1
48,"H",0,1
49,"I",0,1
4A,"J",0,1
4B,"K",0,1
4C,"L",0,1
4D,"M",0,1
4E,"N",0,1
4F,"O",0,1
50,"P",0,1
51,"Q",0,1
52,"R",0,1
53,"S",0,1
54,"T",0,1
55,"U",0,1
56,"V",0,1
57,"W",0,1
58,"X",0,1
59,"Y",0,1
5A,"Z",0,1
5B,"[",0,1
5C,"\",0,1
5D,"]",0,1
5E,"^",0,1
5F,"_",0,1
60,"`",0,1
61,"a",0,1
62,"b",0,1
63,"c",0,1
64,"d",0,1
65,"e",0,1
66,"f",0,1
67,"g",0,1
68,"h",0,1
69,"i",0,1
6A,"j",0,1
6B,"k",0,1
6C,"l",0,1
6D,"m",0,1
6E,"n",0,1
6F,"o",0,1
70,"p",0,1
71,"q",0,1
72,"r",0,1
73,"s",0,1
74,"t",0,1
75,"u",0,1
76,"v",0,1
77,"w",0,1
78,"x",0,1
79,"y",0,1
7A,"z",0,1
7B,"{",0,1
7C,"|",0,1
7D,"}",0,1
7E,"~",0,1
7F,"DEL",1,?
